country,crop_id,value,is_average
Albania,7,381.3,FALSE
Albania,8,732.1,FALSE
Albania,17,319.7,FALSE
Albania,18,1661.7,FALSE
Albania,19,767.5,FALSE
Albania,40,202.1,FALSE
Albania,49,377.5,FALSE
Albania,54,760.9,FALSE
Albania,58,1169.7,FALSE
Albania,59,1256.1,FALSE
Albania,63,317.5,FALSE
Albania,90,481.7,FALSE
Albania,94,342.7,FALSE
Albania,101,487.9,FALSE
Albania,105,724.5,FALSE
Albania,112,1623.5,FALSE
Albania,120,561.8,FALSE
Albania,152,244.5,FALSE
Albania,154,729.9,FALSE
Albania,158,500.6,FALSE
Albania,169,290.2,FALSE
Albania,179,361,FALSE
Albania,200,329.1,FALSE
Albania,203,1447.8,FALSE
Albania,205,319.2,FALSE
Albania,206,456.6,FALSE
Albania,208,397.7,FALSE
Albania,219,603.6,FALSE
Albania,221,674.7,FALSE
Albania,218,666.2,FALSE
Albania,231,343.5,FALSE
Albania,235,293.3,FALSE
Albania,238,421.7,FALSE
Albania,243,748.6,FALSE
Albania,259,430.5,FALSE
Albania,276,525.5,FALSE
Albania,279,493.2,FALSE
Albania,289,839.9,FALSE
Albania,298,445.3,FALSE
Albania,305,2291.6,FALSE
Albania,306,446.2,FALSE
Albania,317,133.9,FALSE
Albania,318,296.9,FALSE
Algeria,7,1690.4,FALSE
Algeria,17,228.4,FALSE
Algeria,19,1206.1,FALSE
Algeria,40,392.9,FALSE
Algeria,49,356.3,FALSE
Algeria,54,520.8,FALSE
Algeria,63,639.6,FALSE
Algeria,94,3517.8,FALSE
Algeria,112,3079.2,FALSE
Algeria,120,1498.5,FALSE
Algeria,154,1324.9,FALSE
Algeria,158,520.8,FALSE
Algeria,179,575.6,FALSE
Algeria,200,146.2,FALSE
Algeria,205,392.9,FALSE
Algeria,206,246.7,FALSE
Algeria,208,986.8,FALSE
Algeria,221,1242.7,FALSE
Algeria,218,968.5,FALSE
Algeria,235,274.1,FALSE
Algeria,238,593.9,FALSE
Algeria,298,834.2,FALSE
Algeria,306,383.8,FALSE
Algeria,317,365.5,FALSE
Algeria,318,411.2,FALSE
Armenia,7,437.2,FALSE
Armenia,8,1049.6,FALSE
Armenia,17,212.9,FALSE
Armenia,18,2550.4,FALSE
Armenia,40,153.2,FALSE
Armenia,49,364,FALSE
Armenia,58,970.6,FALSE
Armenia,63,383.8,FALSE
Armenia,90,358.4,FALSE
Armenia,91,1645.3,FALSE
Armenia,101,220.5,FALSE
Armenia,105,584.8,FALSE
Armenia,112,2263.1,FALSE
Armenia,120,395.1,FALSE
Armenia,156,2497.5,FALSE
Armenia,192,1342.4,FALSE
Armenia,205,269.2,FALSE
Armenia,206,1434.1,FALSE
Armenia,219,497.2,FALSE
Armenia,221,638.6,FALSE
Armenia,218,935.9,FALSE
Armenia,231,328.7,FALSE
Armenia,235,196.7,FALSE
Armenia,243,536.3,FALSE
Armenia,259,212.6,FALSE
Armenia,281,1493,FALSE
Armenia,305,163.2,FALSE
Armenia,306,184.2,FALSE
Armenia,316,2440.5,FALSE
Armenia,317,216.5,FALSE
Armenia,318,231.1,FALSE
Australia,4,7143.1,FALSE
Australia,7,1303.1,FALSE
Australia,8,2045.8,FALSE
Australia,13,3632.1,FALSE
Australia,16,858.6,FALSE
Australia,17,188.1,FALSE
Australia,19,2916.3,FALSE
Australia,40,608.1,FALSE
Australia,49,492.9,FALSE
Australia,54,594,FALSE
Australia,58,6983.3,FALSE
Australia,60,582.8,FALSE
Australia,120,559,FALSE
Australia,154,1777.4,FALSE
Australia,156,869,FALSE
Australia,158,994.6,FALSE
Australia,165,269.1,FALSE
Australia,169,242.3,FALSE
Australia,175,2161.7,FALSE
Australia,179,637.1,FALSE
Australia,192,4771.7,FALSE
Australia,200,227.5,FALSE
Australia,205,591.7,FALSE
Australia,208,704,FALSE
Australia,219,1397.5,FALSE
Australia,221,644.5,FALSE
Australia,218,628.9,FALSE
Australia,228,523.3,FALSE
Australia,231,2042.8,FALSE
Australia,235,342,FALSE
Australia,238,622.9,FALSE
Australia,254,311.5,FALSE
Australia,84,1807.9,FALSE
Australia,270,204.4,FALSE
Australia,281,4763.6,FALSE
Australia,286,27.5,FALSE
Australia,298,1182,FALSE
Australia,306,559,FALSE
Australia,308,184.4,FALSE
Australia,318,205.9,FALSE
Austria,7,386,FALSE
Austria,8,3910.2,FALSE
Austria,12,7021.9,FALSE
Austria,17,99.6,FALSE
Austria,18,5109.3,FALSE
Austria,19,1194.6,FALSE
Austria,33,165.9,FALSE
Austria,40,282.1,FALSE
Austria,49,475.6,FALSE
Austria,54,553.1,FALSE
Austria,58,4582.8,FALSE
Austria,63,1451.3,FALSE
Austria,90,618.3,FALSE
Austria,91,2639.3,FALSE
Austria,101,1630.5,FALSE
Austria,112,4048.5,FALSE
Austria,120,1080.7,FALSE
Austria,138,8616.9,FALSE
Austria,152,1105,FALSE
Austria,158,691.3,FALSE
Austria,169,136.1,FALSE
Austria,192,2765.4,FALSE
Austria,200,95.1,FALSE
Austria,205,251.1,FALSE
Austria,219,1268.8,FALSE
Austria,221,883.8,FALSE
Austria,217,161.5,FALSE
Austria,218,334.1,FALSE
Austria,231,1636,FALSE
Austria,234,2077.4,FALSE
Austria,235,163.7,FALSE
Austria,238,929.2,FALSE
Austria,248,355.1,FALSE
Austria,259,111.7,FALSE
Austria,276,368.3,FALSE
Austria,279,712.4,FALSE
Austria,281,3788.6,FALSE
Austria,282,28.8,FALSE
Austria,289,295.3,FALSE
Austria,306,935.8,FALSE
Austria,308,104,FALSE
Austria,316,4117.1,FALSE
Austria,318,109.5,FALSE
Azerbaijan,4,1253.4,FALSE
Azerbaijan,7,263.2,FALSE
Azerbaijan,8,720.7,FALSE
Azerbaijan,17,119.1,FALSE
Azerbaijan,18,1002.7,FALSE
Azerbaijan,33,626.7,FALSE
Azerbaijan,40,194.3,FALSE
Azerbaijan,49,325.9,FALSE
Azerbaijan,58,564,FALSE
Azerbaijan,59,2005.4,FALSE
Azerbaijan,63,376,FALSE
Azerbaijan,90,350.9,FALSE
Azerbaijan,91,940,FALSE
Azerbaijan,101,250.7,FALSE
Azerbaijan,105,501.3,FALSE
Azerbaijan,112,626.7,FALSE
Azerbaijan,120,450,FALSE
Azerbaijan,106,1566.7,FALSE
Azerbaijan,154,1253.4,FALSE
Azerbaijan,156,940,FALSE
Azerbaijan,169,159.2,FALSE
Azerbaijan,179,164.2,FALSE
Azerbaijan,180,94,FALSE
Azerbaijan,192,689.3,FALSE
Azerbaijan,200,125.3,FALSE
Azerbaijan,203,313.3,FALSE
Azerbaijan,205,156.7,FALSE
Azerbaijan,206,626.7,FALSE
Azerbaijan,208,626.7,FALSE
Azerbaijan,219,501.3,FALSE
Azerbaijan,221,438.7,FALSE
Azerbaijan,217,877.3,FALSE
Azerbaijan,229,940,FALSE
Azerbaijan,231,225.6,FALSE
Azerbaijan,235,247.5,FALSE
Azerbaijan,238,228.1,FALSE
Azerbaijan,243,470,FALSE
Azerbaijan,249,940,FALSE
Azerbaijan,254,1040.3,FALSE
Azerbaijan,259,125.3,FALSE
Azerbaijan,84,304.6,FALSE
Azerbaijan,282,37.6,FALSE
Azerbaijan,289,481.3,FALSE
Azerbaijan,298,501.3,FALSE
Azerbaijan,302,592.2,FALSE
Azerbaijan,305,128.5,FALSE
Azerbaijan,306,350.9,FALSE
Azerbaijan,316,1629.4,FALSE
Azerbaijan,317,100.3,FALSE
Azerbaijan,318,173,FALSE
Bangladesh,8,2868.8,FALSE
Bangladesh,19,430.4,FALSE
Bangladesh,60,903.4,FALSE
Bangladesh,90,251.1,FALSE
Bangladesh,112,1362.8,FALSE
Bangladesh,115,831.4,FALSE
Bangladesh,128,880.9,FALSE
Bangladesh,156,1134,FALSE
Bangladesh,161,640.9,FALSE
Bangladesh,169,212.6,FALSE
